term,definition
参数高效调优,"一组技术，用于比完全 微调 更高效地 微调 大型 预训练语言模型 (PLM) 。与完全微调相比，参数高效调优通常会微调少得多的 参数 ，但通常会生成一个 大语言模型 ，其性能与通过完全微调构建的大语言模型相当（或几乎相当）。

比较参数高效调优与以下方法的异同：

指令调优 提示调优

参数高效调优也称为 参数高效微调 。"
参数服务器 (PS),一种作业，负责在分布式环境中跟踪模型 参数 。
参数更新,在训练期间调整模型 参数 的操作，通常在单次 梯度下降 迭代中进行。
偏导数,"一种导数，其中除一个变量之外的所有变量都被视为常量。
例如， f(x, y) 相对于 x 的偏导数是将 f 视为仅以 x 为变量的函数（即保持 y 不变）的导数。f 对 x 的偏导数仅关注 x 如何变化，而忽略公式中的所有其他变量。"
参与偏差,与无回答偏差的含义相同。请参阅 选择性偏差 。
划分策略,在 参数服务器 间分割变量的算法。
前 k 名准确率（pass@k）,"一种用于确定 大语言模型 生成的代码（例如 Python）质量的指标。更具体地说，通过率（前 k 名）表示在生成的 k 个代码块中，至少有一个代码块通过所有单元测试的可能性。

大语言模型通常难以针对复杂的编程问题生成优质代码。软件工程师会提示大语言模型针对同一问题生成 多个 ( k ) 解决方案，从而应对这一问题。然后，软件工程师会针对单元测试对每个解决方案进行测试。通过率（在 k 处）的计算取决于单元测试的结果：

如果这些解决方案中的 一个或多个 通过了单元测试，则 LLM 通过 了该代码生成挑战。 如果 没有 任何解决方案通过单元测试，则 LLM 未能通过 该代码生成挑战。

Pass@ k 的公式如下：

\[\text{pass at k} = \frac{\text{total number of passes}}
                          {\text{total number of challenges}}\]

一般来说， k 值越高，Pass@k 得分就越高；不过， k 值越高，所需的大型语言模型和单元测试资源就越多。"
Pathways Language Model (PaLM),一种旧版模型，是 Gemini 模型 的前身。
Pax,"一种编程框架，旨在训练大规模 神经网络 模型 ，这些模型非常庞大，以至于需要跨多个 TPU 加速器芯片 切片 或 Pod 。

Pax 基于 Flax 构建，而 Flax 基于 JAX 构建。"
感知机,"一种系统（硬件或软件），该系统先获取一个或多个输入值，接着对这些输入的加权和运行函数，然后计算单个输出值。在机器学习中，该函数通常是非线性函数，例如 ReLU 、 sigmoid 或 tanh 。例如，以下感知机依赖 S 型函数来处理三个输入值：

在下图中，感知机先获取三个输入，每个输入本身会经过权重的修改，然后才进入感知机：

感知器是 神经网络 中的 神经元 。"
性能,"一个多含义术语，具有以下含义：

在软件工程中的标准含义。即：软件的运行速度有多快（或有多高效）？ 在机器学习中的含义。在机器学习领域，性能旨在回答以下问题： 模型 的准确度有多高？即模型在预测方面的表现有多好？"
排列变量重要性,一种 变量重要性 ，用于评估在对特征值进行置换 后 模型预测误差的增加情况。排列变量重要性是一种与模型无关的指标。
困惑度,"一种衡量指标，用于衡量 模型 能够多好地完成任务。
例如，假设您的任务是读取用户在手机键盘上输入的前几个字母，并提供可能的补全字词列表。此任务的困惑度 P 大致是指您需要提供多少个猜测，才能使您的列表包含用户尝试输入的实际字词。

困惑度与 交叉熵 的关系如下："
流水线,"机器学习算法周围的基础设施。流水线包括收集数据、将数据放入训练数据文件、训练一个或多个模型，以及将模型导出到生产环境。

如需了解详情，请参阅“管理机器学习项目”课程中的 机器学习流水线 。"
流水线,"一种 模型并行 形式，其中模型的处理分为连续的阶段，每个阶段在不同的设备上执行。当某个阶段处理一个批次时，前一个阶段可以处理下一个批次。

另请参阅 分阶段训练 。"
pjit,"一种 JAX 函数，用于拆分代码以在多个 加速器芯片 上运行。用户将一个函数传递给 pjit，该函数会返回一个具有等效语义的函数，但该函数会被编译为在多个设备（例如 GPU 或 TPU 核心）上运行的 XLA 计算。

pjit 使用户能够通过 SPMD 分区器对计算进行分片，而无需重写计算。

截至 2023 年 3 月， pjit 已与 jit 合并。如需了解详情，请参阅 分布式数组和自动并行化 。"
PLM,预训练语言模型 的缩写。
pmap,一种 JAX 函数，可在多个底层硬件设备（CPU、GPU 或 TPU ）上执行输入函数的副本，并使用不同的输入值。pmap 依赖于 SPMD 。
政策,在强化学习中， 智能体 从 状态 到 行动 的概率映射。
池化,"将一个或多个由前面的 卷积层 创建的矩阵压缩为较小的矩阵。
池化通常涉及取池化区域中的最大值或平均值。例如，假设我们有以下 3x3 矩阵：

池化运算与卷积运算类似：将矩阵分割为多个切片，然后按 步长 逐个运行卷积运算。例如，假设池化运算以 1x1 的步长将卷积矩阵划分为 2x2 的切片。如下图所示，系统会执行四次池化操作。假设每个池化操作都会选择相应切片中的最大值：

池化有助于在输入矩阵中实现 平移不变性 。

用于视觉应用的池化更正式的名称是 空间池化 。时序应用通常将池化称为 时序池化 。在不太正式的场合，池化通常称为 子采样 或 下采样 。

请参阅机器学习实践课程：图像分类中的 卷积神经网络简介 。"
位置编码,"一种将序列中词法单元的 位置 信息添加到词法单元嵌入中的技术。 Transformer 模型 使用位置编码来更好地了解序列不同部分之间的关系。

位置编码的常见实现方式是使用正弦函数。（具体而言，正弦函数的频率和振幅由序列中令牌的位置决定。）此技术使 Transformer 模型能够学习根据序列中不同部分的位置来关注它们。"
正类别,"您要测试的类。

例如，在癌症模型中，正类别可以是“肿瘤”。在电子邮件 分类模型 中，正类别可以是“垃圾邮件”。

与 负类别 相对。"
后处理,"在模型运行 后 调整其输出。
后期处理可用于强制执行公平性限制，而无需修改模型本身。

例如，可以对 二元分类模型 应用后处理，方法是设置 分类阈值 ，通过检查某个属性的所有值的 真正例率 是否相同，来确保该属性的 机会均等 。"
后训练模型,"一个宽泛定义的术语，通常是指经过一些后处理（例如以下一项或多项）的 预训练模型 ：

蒸馏 微调 指令调优"
PR AUC（PR 曲线下的面积）,通过绘制不同 分类阈值 的（召回率、精确率）点而获得的插值 精确率/召回率曲线 下的面积。
Praxis,"Pax 的核心高性能机器学习库。Praxis 通常称为“层库”。

Praxis 不仅包含 Layer 类的定义，还包含其大部分支持组件，包括：

数据输入 配置库（HParam 和 Fiddle ） 优化器

Praxis 为 Model 类提供定义。"
精确度,"一种 分类模型 指标，可为您提供以下信息：

公式如下：

其中：

真正例是指模型 正确 预测了正类别。 假正例是指模型 错误地 预测了正类别。

例如，假设某个模型做出了 200 次正预测。在这 200 个正例预测中：

其中 150 个为真正例。 50 个是假正例。

在此示例中：

与 准确率 和 召回率 相对。

如需了解详情，请参阅机器学习速成课程中的 分类：准确率、召回率、精确率和相关指标 。"
前 k 名的精确率 (precision@k),"用于评估排名（有序）商品列表的指标。
前 k 项的准确率是指该列表中前 k 项中“相关”项所占的比例。具体来说：

\[\text{precision at k} =
                       \frac{\text{relevant items in first k items of the list}}
                            {\text{k}}\]

k 的值必须小于或等于返回列表的长度。
请注意，返回列表的长度不属于计算的一部分。

相关性通常是主观的；即使是专业的 人工评估员 也经常在哪些内容相关的问题上意见不一。

比较对象：

前 k 名的平均精确率 前 k 名的平均精确率均值"
